DrugName,CIDs,smiles
(+)-Bicuculline,10237,CN1CCC2=CC3=C(C=C2[C@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3
(+)-Blebbistatin,6604910,CC1=CC2=C(C=C1)N=C3[C@@](C2=O)(CCN3C4=CC=CC=C4)O
(+)-PD 128907 hydrochloride,11957668,CCCN1CCO[C@H]2[C@H]1COC3=C2C=C(C=C3)O.Cl
(+)-Usnic acid,442614,CC1=C(C(=C2C(=C1O)[C@]3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O
(-)-Blebbistatin,5287792,CC1=CC2=C(C=C1)N=C3[C@](C2=O)(CCN3C4=CC=CC=C4)O
(-)-Epigallocatechin gallate,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
(-)-Ethyl apovincaminate,105066,CC[C@]12CCCN3[C@H]1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC
(-)-MK 801 Maleate,16219612,C[C@]12C3=CC=CC=C3C[C@H](N1)C4=CC=CC=C24.C(=C\C(=O)O)\C(=O)O
(-)-Rapamycin,5284616,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC
(-)-Threo-Mefloquine,3000506,C1CCN[C@H](C1)[C@@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
(-)-chlorpheniramine,716121,CN(C)CC[C@H](C1=CC=C(C=C1)Cl)C2=CC=CC=N2
(-)-huperzine A,449069,CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aR)-3-[(tert-butylamino)-oxomethyl]-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[[oxo(2-quinolinyl)methyl]amino]butanediamide",454469,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O
"(3S,4R)-Tofacitinib",9966538,C[C@@H]1CCN(C[C@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
(E/Z)-ferulic acid,709,COC1=C(C=CC(=C1)C=CC(=O)O)O
(Phenylindolyl)maleimide deriv. 79,5327721,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CC(=CC(=C4)Cl)Cl
(R)-(-)-Rolipram,448055,COC1=C(C=C(C=C1)[C@H]2CC(=O)NC2)OC3CCCC3
(R)-Bicalutamide,56069,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
(R)-Etodolac,667528,CCC1=C2C(=CC=C1)C3=C(N2)[C@@](OCC3)(CC)CC(=O)O
(S)-(+)-rolipram,158758,COC1=C(C=C(C=C1)[C@@H]2CC(=O)NC2)OC3CCCC3
".beta.,.beta.-Carotene",5280489,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C
"001, RAD",6442177,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC
"1,25-dihydroxy vitamin D3",5280453,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
1-(1-Naphthylmethyl)piperazine,701891,C1CN(CCN1)CC2=CC=CC3=CC=CC=C32
1-DOCOSANOL,12620,CCCCCCCCCCCCCCCCCCCCCCO
1-Hexadecanol,2682,CCCCCCCCCCCCCCCCO
1-Methyl-D-tryptophan,405012,CN1C=C(C2=CC=CC=C21)C[C@H](C(=O)O)N
"1-[(3S,9R,10R)-12-[(2S)-1-(dimethylamino)propan-2-yl]-9-[[(4-fluorophenyl)sulfonyl-methylamino]methyl]-3,10-dimethyl-13-oxo-2,8-dioxa-12-azabicyclo[12.4.0]octadeca-1(14),15,17-trien-16-yl]-3-phenylurea",49849912,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)NC(=O)NC3=CC=CC=C3)[C@@H](C)CN(C)C)C)CN(C)S(=O)(=O)C4=CC=C(C=C4)F
1-beta-D-Xylofuranosyluracil,11064619,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@H]([C@H](O2)CO)O)O
10-Deacetylbaccatin III,154272,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O
10-Hydroxycamptothecin,97226,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=CC5=C4)O)O
10-epi-Aclacinomycin A,154943,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@@H]([C@@H](O6)C)O[C@H]7CCC(=O)[C@@H](O7)C)O)N(C)C)O
1001645-58-4,25232708,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl
10030-85-0,20849066,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O.O
10058-F4,1271002,CCC1=CC=C(C=C1)/C=C/2\C(=O)NC(=S)S2
10074-G5,2836600,C1=CC=C(C=C1)C2=CC=CC=C2NC3=CC=C(C4=NON=C34)[N+](=O)[O-]
1032350-13-2,46930998,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N.Cl.Cl
10356-76-0,515328,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)F)CO)O
10402-53-6,73356,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl
1047953-91-2,45942672,COCCOC1=NN(C(=N1)C2=CC(=C(C=C2)Cl)Cl)C3=CC=C(C=C3)NC(=O)CCl
1062368-24-4,25195294,C1CN(CCN1)C2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC6=CC=CC=C56)N=C3
1072959-67-1,25093235,CN(C)CCOC1=C(C=CC(=C1)C2=CNN=C2)NC(=O)C3COC4=CC=CC=C4O3
1080622-86-1,44551660,COC1=C(C=C2C(=C1)C(=NC=N2)N3C(=NC(=N3)C4=CC=CC=N4)N)OC
108341-18-0,3047796,C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O
108740-89-2,130966,CC(=O)OC1CC2(C(CCC2O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C
1093403-33-8,25108829,CC1=C(SC(=N1)C2=CN=CC=C2)C(=O)NC3=CC=CC=C3C4=CN5C(=CSC5=N4)CN6CCOCC6
1095382-05-0,25154041,CC1=CC(=NO1)CN2CCN(CC2)C3=C4C(=NC=C3Br)N=C(N4)C5=CC=C(C=C5)N6CCN(CC6)C
1096708-71-2,25161177,C[C@H](C1=NC=C(S1)C(=O)NC2=NC=C(C(=C2)C(F)(F)F)Cl)NC(=O)C3=C(C(=NC=N3)N)Cl
11-cis Retinoic Acid,9796370,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C(=O)O)\C)/C
110025-28-0,3035980,CC/C(=C(/C1=CC=C(C=C1)O)\C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3
1101810-02-9,25168990,C[C@H]1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=O)(=O)C4CC4)C5=CC=C(C=C5)NC(=S)NCCO
110448-33-4,9803932,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I.Cl
1111636-35-1,53356806,C1=CNC2=NC=C(C=C21)C3=NN(C=C3C4=NC(=NC=C4)NCCC#N)CC(F)F
1118807-13-8,8582409,COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC
1124329-14-1,56973724,CN1CCC(CC1)OC2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C(=O)N4C)C5CCCC5)OC
112648-68-7,104794,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC
1134156-31-2,25195348,C1=CC(=CC=C1COC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C4=NC=NC(=C4N=C3NCC5=CC(=C(C=C5)Cl)Cl)N)O)O)C#N
1144068-46-1,25260757,CNC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCC5(CC4)OCCO5)C(=N2)N6CC7CCC(C6)O7
1149705-71-4,60147023,CC[C@@H](C)NC1=C(C=C(C(=C1)C(=O)NC2C[C@H]3CC[C@@H](C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
1155877-97-6,57703712,COC1=C(C=C(C=C1)CC2=CC=C(C=C2)NC(=O)N)C3=CC(=CC=C3)Cl
1161205-04-4,44191096,COC1=C(C=CC(=C1)NC(=O)C2=CC=CC=N2)Cl
1166227-08-2,42636535,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CSC(=N3)C(C)(C)C
1169562-71-3,135564631,C1C[C@H](NC1)C2=NC3=C(C(=O)N2)OC4=C3C=C(C=C4)Cl.Cl
117048-62-1,72686,COC1=C(C=C(C=C1)C=CC2=CC(=C(C(=C2)OC)OC)OC)O
1174046-72-0,44155856,C1=CC(=CC=C1C2=CNC=C(C2=O)C(=O)NC3=CC(=C(C=C3)OC4=C(C(=NC=C4)N)Cl)F)F
1194044-20-6,44251605,C[C@]1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F
1201902-80-8,49867936,B1(OC(=O)CC(O1)(CC(=O)O)C(=O)O)[C@H](CC(C)C)NC(=O)CNC(=O)C2=C(C=CC(=C2)Cl)Cl
1202884-94-3,44599690,CN(C)CCN(C)C(=O)C1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=NC4=C(C=CN4CC(F)(F)F)C(=N3)N5CCOCC5
1206101-20-3,49831257,C1CC1C(=O)NC2=NN3C(=N2)C=CC=C3C4=CC=C(C=C4)CN5CCS(=O)(=O)CC5
121268-17-5,23681107,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+]
1214265-56-1,44607360,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl
1218942-37-0,58496428,CN1C(=O)C=C2C(=C1C3=CC(=CC=C3)N(C)C)C(=O)N(N2)C4=CC=CC=C4Cl
122111-05-1,46781465,C1=CN(C(=O)N=C1N)[C@@H]2C([C@H]([C@H](O2)CO)O)(F)F.Cl
1221186-53-3,44246499,CN1C2=C(C3=C1C(=O)N(N=C3)CC4=CC(=CC=C4)N)SC(=C2)S(=O)C
1222781-70-5,44247466,COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32.Cl
1224844-38-5,45375953,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N
1231930-82-7,71576678,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F.CS(=O)(=O)O
1233948-35-0,46847888,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)C3=CC=C(S3)C#N)C
1243244-14-5,46926973,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4
1246086-78-1,46934289,C1=CC=C(C(=C1)NS(=O)(=O)C2=C(C=C(C=C2)NC(=O)C3=CC=CC=N3)Cl)Cl
1247819-59-5,46931953,CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-]
124936-75-0,16725073,CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.Cl
1252806-86-2,49843509,CCC(C)[C@@H](C(=O)N1CCC2(CCC3=CC=CC=C32)CC1)NC(=O)[C@H](CC4CCCCC4)NC(=O)C5=CC=NO5
125316-60-1,135411,C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O
1260907-17-2,46943432,CCNC(=O)C[C@H]1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C
1262770-73-9,71304818,CC(C)CNC1=NC(=NC=C1)NCC2=CSC(=N2)C3=CC=CC=C3
1265229-25-1,66555680,CC1=NC2=C(N1)C=C(C=C2)N3C(=C(C=N3)C(=O)C4=CC5=CC=CC=C5N4)N
1265789-88-5,53317853,CC(C)(C)C1=CC(=C(S1)NC(=O)NC2=CC3=C(C=C2)NN=C3)C(=O)O
1268524-70-4,46907787,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
128517-07-7,5352062,C/C=C\1/C(=O)N[C@H](C(=O)O[C@H]\2CC(=O)N[C@@H](C(=O)N[C@H](CSSCC/C=C2)C(=O)N1)C(C)C)C(C)C
129-56-6,8515,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
1300031-49-5,52912189,CC1=C(C(=NO1)C)C2=C(C=C3C(=C2)N=CC4=C3N(C(=O)N4)[C@H](C)C5=CC=CC=N5)OC
1309805-49-9,57519543,C1CN(C[C@@H]1CN2C3=C(C=NC=C3)N=C2C4=CC=C(C=C4)C5=CC6=C(C=C5)OC=C6)C(=O)C7CC7
1314241-44-5,46931242,C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=CN=C3)Br
1316214-52-4,53340666,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=NC=C(C=N3)C(=O)NCCCCCCC(=O)NO
131707-23-8,9958103,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3.Cl
131848-97-0,2404,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5CC(CCN5C6=CC=CC=C64)CN
13292-46-1,135398735,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C
133294-37-8,445154,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
133550-30-8,5328779,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N
1338259-05-4,53239854,CC1=C(N(C2=C1C=C(C=C2)C(=O)N[C@@H](C)C3=CC=C(C=C3)[N+](=O)[O-])CC4=CC=C(C=C4)C5=CC=CC=C5C(=O)O)C
13463-41-7,26041,C1=CC=[N+](C(=C1)[S-])[O-].C1=CC=[N+](C(=C1)[S-])[O-].[Zn+2]
1346528-06-0,49830260,C1CCC2=C(C1)C(=NC(=N2)N3CCOC4=CC=CC=C43)NCC5=CC=CC=C5
134680-32-3,73339,C1[C@@H](O[C@@H](S1)CO)N2C=CC(=NC2=O)N
1357171-62-0,46742353,C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5
1359164-11-6,51035449,C1CN(CCN1CC2=CC=C(C=C2)C3=C(C=C(C=C3)C(C(F)(F)F)(C(F)(F)F)O)F)CC4=CC=NC=C4
1370261-97-4,56948527,C1CC[C@H]([C@H](C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N.Cl
1392399-03-9,46945860,CN1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)CC5=CC=CC=C5)OC)OC.Cl.Cl.Cl
14003-96-4,12934390,CC1=CC(=O)OC2=C1C=CC(=C2C=O)O
1421227-52-2,72551586,CN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC(=O)C5CC5)C(F)(F)F
1423715-09-6,135743577,C/C(=N\NC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCOCC2)/C3=C(C=CC(=C3)Cl)O
1429617-90-2,71550931,CCC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)CN3CCN(CC3)C)C#CC4=CN5C(=CC=N5)N=C4
1431985-92-0,46173038,COC1=CC(=CC(=C1OC)OC)C2=C(N=CC(=C2)C3=CC(=CC=C3)O)N
143945-86-2,6604437,C1=CC(=CC=C1CN2C=CN=C2)/C=C\C(=O)O
1439901-97-9,71571562,CC#CC(=O)N1CC[C@H](C1)N2C3=NC=NC(=C3N(C2=O)C4=CC=C(C=C4)OC5=CC=CC=C5)N.Cl
14402-89-2,11963579,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Na+].[Na+].[Fe+4]
1440754-12-0,73292903,C1CNCCC1C(COC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3CC5=CC=CC=C5)N6C7=CC=CC=C7N=C6C8=CC=CC=C8
1442472-39-0,71584930,CCN1C2=CC(=NC=C2C=C(C1=O)C3=CC(=C(C=C3Br)F)NC(=O)NC4=CC=CC=C4)NC
145-13-1,8955,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
145986-26-1,454519,C1[C@@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F
146535-11-7,2049,COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC
147859-80-1,6610318,CCCNC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)OC
14807-96-6,16211421,O.O=[Mg].O=[Mg].O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O
1485-00-3,672296,C1OC2=C(O1)C=C(C=C2)/C=C/[N+](=O)[O-]
14913-33-8,5702198,N.N.Cl[Pt]Cl
15(S)-Fluprostenol isopropyl ester,35023509,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@@H](COC2=CC=CC(=C2)C(F)(F)F)O)O)O
152121-47-6,176155,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
152121-53-4,4712,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-]
153436-54-5,4705,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Br)OC
153559-76-3,3922,CC1=CC2=C(C=C1C3(CC3)C4=NC=C(C=C4)C(=O)O)C(CCC2(C)C)(C)C
154447-35-5,9860529,C1COCCN1C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3
154447-36-6,3973,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
155148-31-5,65014,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl
155206-00-1,5311027,CCNC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](CCC2=CC=CC=C2)O)O)O
1554458-53-5,78320750,CC1=C(C=CC(=C1)C2=CN=C3N2N=C(C=C3NCCC(F)(F)F)OC4=C(C(=C(C=C4)OC)F)F)C(=O)NC5CC5
155584-74-0,24278976,CN1CCN(CC1)C2=NC3=CC=CC=C3N=C2Cl
158798-73-3,400633,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
1607837-31-9,74222277,CN1C2=C(C=C(C=C2)C3=CN=C(C(=C3N4CCC5(CCNC5=O)CC4)Cl)N)C=N1
1616392-22-3,90241742,CC(=O)N1CCC(CC1)NC2=NC=NC(=C2)C(=O)NC[C@@H](CN3CCC4=CC=CC=C4C3)O
1616632-77-9,73777259,CC1=CC=CC=C1CN2C(=O)C3=C(CCN(C3)CC4=CC=CC=C4)N5C2=NCC5
1627696-51-8,81689696,C[C@@]1(C2=C(C=C(C=C2)C3=CNN=C3)C(=O)N1)C4=NC=NC=C4F
164178-33-0,4302963,CC1=C(C2=C(N1CCN3CCOCC3)C=C(C=C2)I)C(=O)C4=CC=C(C=C4)OC
164658-13-3,644215,C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO
167465-36-3,153997,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl
1675203-84-5,117951478,CC1=C(C=CC=C1C2=CC=CC=C2)COC3=NC(=C(C=C3)CNCCNC(=O)C)OC
167869-21-8,4713,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
17-DMAG (Alvespimycin) HCl,9852573,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC.Cl
17-Hydroxypregn-4-en-20-yn-3-one,3288,CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C#C)O)C
